,0
feature399,30.0
feature400,49.0
feature401,3566.0
feature402,38.0
feature403,19.0
feature404,2.0
feature405,7.0
feature406,3.0
feature407,6.0
feature408,10.0
feature409,7.0
feature410,368.0
feature411,7.0
feature412,8.0
feature413,68.0
feature414,1141.0
feature415,5.0
feature416,33.0
feature417,2.0
feature418,2.0
feature419,4.0
feature420,13.0
feature421,6.0
feature422,2.0
feature423,4.0
feature424,49.0
feature425,4.0
feature426,11.0
feature427,2.0
feature428,7.0
feature429,3.0
feature430,26.0
feature431,5.0
feature432,4.0
feature433,4.0
feature434,5.0
feature435,7.0
feature436,93.0
feature437,42.0
feature438,3.0
feature439,4.0
feature440,100.0
feature441,10.0
feature442,228.0
feature443,5.0
feature444,3.0
feature445,99.0
feature446,53.0
feature447,26410.0
feature448,2.0
feature449,2.0
feature450,2.0
feature451,8.0
feature452,11.0
feature453,5.0
feature454,2.0
feature455,3.0
feature456,3.0
feature457,16.0
feature458,4.0
feature459,2.0
feature460,2.0
feature461,30.0
feature462,2.0
feature463,3.0
feature464,14.0
feature465,302.0
feature466,6.0
feature467,162.0
feature468,3.0
feature469,3.0
feature470,233.0
feature471,3.0
feature472,4.0
feature473,4.0
feature474,274.0
feature475,5.0
feature476,2.0
feature477,22.0
feature478,141.0
feature479,3.0
feature480,3.0
feature481,66.0
feature482,38.0
feature483,471.0
feature484,4.0
feature485,4.0
feature486,12.0
feature487,45.0
feature488,75.0
feature489,4.0
feature490,3.0
feature491,8.0
feature492,11.0
feature493,10.0
feature494,142.0
feature495,3.0
feature496,25.0
feature497,5.0
feature498,21.0
feature499,2.0
feature500,3.0
feature501,4.0
feature502,26.0
feature503,7.0
feature504,4.0
feature505,30.0
feature506,15.0
feature507,8.0
feature508,4.0
feature509,10.0
feature510,2.0
feature511,14.0
feature512,3.0
feature513,9.0
feature514,12.0
feature515,72.0
feature516,48.0
feature517,6.0
feature518,2.0
feature519,12.0
feature520,38.0
feature521,5.0
feature522,44.0
feature523,7.0
feature524,3.0
feature525,13.0
feature526,46.0
feature527,794.0
feature528,11.0
feature529,2.0
feature530,56.0
feature531,57.0
feature532,237.0
feature533,18.0
feature534,92.0
feature535,10.0
feature536,24.0
feature537,4.0
feature538,18.0
feature539,30.0
feature540,6.0
feature541,18.0
feature542,2.0
feature543,2.0
